state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
15000	0.000	0.000	0.000	0	1	147.803	1.211	2.337	-32.74	-279.84	0.00	0.00
15100	0.000	0.000	0.000	0	2	174.784	0.827	2.051	-33.85	-280.76	0.87	0.00
15200	0.000	0.000	0.000	0	1	254.118	1.132	2.051	-31.81	-280.05	0.00	-86.22
15300	0.000	0.000	0.000	0	1	492.268	0.866	2.051	-32.45	-280.53	0.59	-0.47
15400	0.000	0.000	0.000	0	1	1032.944	1.187	2.215	-32.32	-281.61	0.00	0.00
15500	0.000	0.000	0.000	0	1	1194.433	1.110	2.215	-32.16	-281.93	0.00	0.00
15600	0.000	0.000	0.000	0	1	666.716	1.237	1.885	-32.46	-280.88	0.00	0.00
15700	0.000	0.000	0.000	0	1	1069.579	0.990	2.068	-31.96	-281.68	-0.00	0.00
15800	0.000	0.000	0.000	0	1	1151.657	1.268	1.906	-32.73	-281.85	0.00	0.00
15900	0.000	0.000	0.000	0	1	817.552	1.268	2.482	-33.37	-281.18	1.57	0.00
16000	0.000	0.000	0.000	0	1	450.979	1.268	2.322	-32.68	-280.45	0.05	-0.06
16100	0.000	0.000	0.000	0	1	347.554	1.605	2.182	-34.44	-280.24	0.00	0.00
16200	0.000	0.000	0.000	0	1	300.728	0.879	2.182	-32.43	-280.15	0.00	-93.46
16300	0.000	0.000	0.000	0	2	142.553	0.879	2.035	-32.37	-280.66	-0.84	0.00
16400	0.000	0.000	0.000	0	1	158.971	1.320	1.704	-33.32	-279.86	0.91	0.00
16500	0.000	0.000	0.000	0	1	174.070	1.400	2.121	-33.18	-279.89	0.00	0.00
16600	0.000	0.000	0.000	0	1	71.865	0.939	2.121	-32.93	-279.69	0.00	-97.07
16700	0.000	0.000	0.000	0	1	79.519	1.403	2.056	-33.84	-279.70	0.83	0.00
16800	0.000	0.000	0.000	0	1	52.267	1.188	1.998	-33.53	-279.65	-0.00	0.00
16900	0.000	0.000	0.000	0	3	238.982	1.188	1.594	-34.87	-281.60	0.00	-101.95
17000	0.000	0.000	0.000	0	1	179.407	1.294	2.023	-32.55	-279.90	0.00	0.00
17100	0.000	0.000	0.000	0	2	219.838	1.481	1.608	-35.91	-280.90	0.00	0.00
17200	0.000	0.000	0.000	0	1	626.328	1.391	1.545	-34.27	-280.80	0.00	-105.79
17300	0.000	0.000	0.000	0	1	778.304	0.989	2.156	-31.92	-281.10	0.48	-0.27
17400	0.000	0.000	0.000	0	1	550.778	1.254	2.156	-32.35	-280.65	0.53	-0.39
17500	0.000	0.000	0.000	0	1	682.408	0.991	1.925	-32.01	-280.91	0.00	0.00
17600	0.000	0.000	0.000	0	1	481.284	0.999	1.953	-31.85	-280.51	-1.17	0.00
17700	0.000	0.000	0.000	0	1	626.509	1.043	2.272	-32.07	-280.80	0.00	-110.19
17800	0.000	0.000	0.000	0	1	738.502	1.415	1.901	-33.38	-281.02	0.00	0.00
17900	0.000	0.000	0.000	0	1	1049.817	1.053	2.109	-31.92	-281.64	0.00	0.00
18000	0.000	0.000	0.000	0	1	526.811	1.182	2.081	-32.00	-280.60	0.00	0.00
18100	0.000	0.000	0.000	0	2	393.215	1.392	1.624	-34.14	-281.42	-0.80	0.00
18200	0.000	0.000	0.000	0	1	748.241	0.886	1.887	-32.73	-281.04	1.50	0.00
18300	0.000	0.000	0.000	0	1	488.526	0.913	2.127	-32.10	-280.52	0.00	0.00
18400	0.000	0.000	0.000	0	1	828.618	1.071	1.908	-32.04	-281.20	-1.52	0.00
18500	0.000	0.000	0.000	0	1	1123.719	1.071	1.908	-32.15	-281.79	-1.82	0.00
18600	0.000	0.000	0.000	0	1	729.114	1.071	2.063	-31.81	-281.00	0.00	0.00
18700	0.000	0.000	0.000	0	1	985.501	1.019	2.076	-31.89	-281.51	-0.12	0.06
18800	0.000	0.000	0.000	0	1	967.002	1.316	2.239	-32.91	-281.48	-1.66	0.00
18900	0.000	0.000	0.000	0	2	548.166	1.316	2.239	-34.41	-281.88	1.24	0.00
19000	0.000	0.000	0.000	0	1	1245.864	1.159	2.311	-32.53	-282.04	0.00	0.00
19100	0.000	0.000	0.000	0	1	777.839	1.159	2.573	-33.61	-281.10	0.00	0.00
19200	0.000	0.000	0.000	0	1	593.123	1.364	1.669	-33.63	-280.73	1.34	0.00
19300	0.000	0.000	0.000	0	1	690.114	1.207	2.090	-32.15	-280.92	0.00	0.00
19400	0.000	0.000	0.000	0	1	244.422	1.268	2.090	-32.34	-280.03	0.00	-127.93
